date,ticker,name,market,close,volume,ma50,ma150,ma200,low_52w,high_52w,pct_above_low,pct_below_high,rs_rating,rs_line_up,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,pass_count,pass_all,base_label
20260914,CCG,Cheche Group Inc,NASDAQ,14.61,19656.0,11.5,4.29,3.43,0.34,18.16,4134.8,19.5,99.0,True,True,True,True,True,True,True,True,True,8,True,1 형성중
20260914,CTSO,Cytosorbents Corp,NASDAQ,6.07,9400.0,0.97,0.71,0.71,0.3,7.44,1923.3,18.4,99.0,True,True,True,True,True,True,True,True,True,8,True,베이스 없음
20260909,CYCN,Cyclerion Therapeutics Inc,NASDAQ,23.52,435847.0,4.55,3.18,2.76,1.03,26.88,2190.2,12.5,99.0,True,True,True,True,True,True,True,True,True,8,True,베이스 없음
20260914,GAME,GameSquare Holdings Inc,NASDAQ,3.6,139823.0,1.18,0.64,0.6,0.24,3.85,1431.9,6.5,99.0,True,True,True,True,True,True,True,True,True,8,True,베이스 없음
20260914,LGVN,Longeveron Inc,NASDAQ,6.92,61771.0,1.91,1.17,1.03,0.48,7.6,1356.8,8.9,99.0,True,True,True,True,True,True,True,True,True,8,True,베이스 없음
20260914,ANL,Adlai Nortye Group Ltd ADR,NASDAQ,15.93,175554.0,12.94,11.52,9.28,0.88,17.25,1712.3,7.7,98.0,True,True,True,True,True,True,True,True,True,8,True,2 형성중
20260914,ANRO,Alto Neuroscience Inc,NYSE,31.68,453300.0,30.39,24.79,22.62,3.59,37.48,782.5,15.5,98.0,True,True,True,True,True,True,True,True,True,8,True,4 형성중
20260914,BRCC,BRC Inc,NYSE,8.98,90500.0,2.99,1.7,1.55,0.6,9.11,1396.7,1.4,98.0,True,True,True,True,True,True,True,True,True,8,True,베이스 없음
20260914,BUUU,BUUU Group Ltd,NASDAQ,39.5,17114.0,26.52,19.67,16.79,5.7,45.25,593.0,12.7,98.0,True,True,True,True,True,True,True,True,True,8,True,베이스 없음
20260914,BVC,BitVentures Ltd,NASDAQ,15.1,14138.0,12.48,10.51,9.19,0.7,18.0,2057.1,16.1,98.0,True,True,True,True,True,True,True,True,True,8,True,2a차
20260914,CDNA,CareDx  Inc.,NASDAQ,52.37,794937.0,42.46,27.87,25.76,13.23,53.67,295.8,2.4,98.0,True,True,True,True,True,True,True,True,True,8,True,1a차
20260914,CLYM,Climb Bio Inc,NASDAQ,14.56,1094948.0,14.18,10.71,8.97,1.54,18.33,845.5,20.6,98.0,True,True,True,True,True,True,True,True,True,8,True,4 형성중
20260914,DELL,Dell Technologies Inc,NYSE,534.28,9119604.0,451.7,309.98,263.79,110.22,567.75,384.7,5.9,98.0,True,True,True,True,True,True,True,True,True,8,True,1a차
20260914,EDRY,EuroDry Ltd,NASDAQ,65.0,379441.0,36.42,25.81,22.67,11.21,71.84,479.8,9.5,98.0,True,True,True,True,True,True,True,True,True,8,True,2a차
20260914,FTH,Faeth Therapeutics  Inc,NASDAQ,39.09,265786.0,31.1,26.56,22.31,7.45,42.14,424.7,7.2,98.0,True,True,True,True,True,True,True,True,True,8,True,1a차
20260914,INCR,InterCure Ltd,NASDAQ,5.29,2871.0,2.13,1.29,1.25,0.68,6.1,677.9,13.3,98.0,True,True,True,True,True,True,True,True,True,8,True,2 형성중
